text,label,notes
"""but slip stream behind him could be crucial"" Precisely what I think will happen as I've seen it happen all year. Max could have the speed advantage but the mcl has better corner speed and the drivers manage their tires really good. If they can hang onto him in the beginning or a restart, few corners then a straight and they're in the slipstream + DRS and he can get overtaken. Max will probably yield to maintain better pace than what he could have from defending and to avoid getting a happy little accident and few penalty points/+10 seconds.",technical ,
Will a lower down force setting increase degradation?,technical ,
Yes but it's manageable at Monza. If you have better straight line speed you can keep cars behind you as long as you don't mess up parabolica - we've seen this repeatedly in recent years. This goes 2x if the car is front is Max Verstappen with nothing to lose and the car behind is a McLaren which can't afford a DNF in a tight title fight.,technical ,
"Stupid question! Usually teams are forced to declare new parts when it is the first time they are used in the season (this is why we have a list of upgrades usually published at every grand prix weekend). If you then take a buffer wheel at a part to modify it, are you supposed to publish again since technically it is a different part that you never used before?",technical ,
"As the ground effect-era comes to an end, a look at the cars which adopted a higher-set front wing.",technical ,
"Not sure I agree that the ground effect era is coming ""to an end"". The new regulations mean that the ground effect will be less powerful, sure, but we're not going back to flat floors. There will still be tunnels etc. Ground effect will still have a significant role to play in car performance. The big difference is that porpoising should become a much reduced problem, and obviously the new active aero that replaces DRS will be important to get right.",technical ,
"To be fair the ""ground effect"" era really ended with TD39.",technical ,
"It still strikes me that the 2022 Aston has the weirdest Front Wing ever. It looks too thick, I can’t be the only one who thinks this right???",technical ,
What Undercuts and Overcuts Are,technical ,
With the discussion about banning tyre blankets do you still think we will see less undercuts or do you think teams will find solutions alas McLaren?,technical ,
Undercuts and Overcuts with new regulations,technical ,
"you probably make sure to go to pits with fairly high battery, so you can use it on the outlap or maybe even wait a lap until the one you're undercutting pits, to make sure you can battle them",technical ,
It wouldn't surprise me if they have quite a lot of battery once leaving the pit lane. The hard braking they do on pit entry will bring the charge up. Likewise they could rev high in the pit lane whilst at the speed limit.,technical ,
"Lewis Hamilton wins the 2026 Barcelona Grand Prix, his first victory for Ferrari!",results_recap,
"Hamilton is now on the list of Ferrari race winners! And on the same circuit as Schumachers first Ferrari win. What a race from Ham, and what a strategy from Ferrari! They both didn’t put a foot wrong today",results_recap,
I would've loved to see Lewis smash them without saftey car. I really think he had the pace outright to do it. Please Ferrari keep this momentum and give him a competitive car every race.,results_recap,
BEAT A MERC BY 20 SECONDS!,results_recap,
FORZA FERRARI!,results_recap,
"VSC pit saves 10-12 seconds, he won by 20. Of course if he has to overtake it would slow him down some but he absolutely had the pace. He would have caught up with 10-14 laps to go and I don't think either Merc is good enough wheel to wheel to hold against Lewis for that long, with that pace gap.",results_recap,
"The first pit stop has everyone else shook which helped Lewis to set up for the 2nd stint. The 2nd stint was incredible and the well timed VSC pitstop that effectively ended the race for Merc to settle for P2. They were planning for a 3 stop strategy, which turned out to be the correct call for Lewis.",results_recap,
Hamilton +25 on Antonelli. Walk with me...,results_recap,
Kimi Antonelli wins the 2026 Monaco Grand Prix,results_recap,
"On Friday, 12th of June, Pierre Gasly's two 5-second penalties have been rescinded. Therefore Gasly regained 3rd place and Hadjar falls back to 4th.",results_recap,
Still under investigation right?,results_recap,
George Russell takes pole position for the 2026 Barcelona Grand Prix,results_recap,
That final lap and purple S2 was insane. Especially since that sector was where he was struggling the most throughout practice.,results_recap,
Nico Hulkenberg with his first podium trophy,results_recap,
[F1] Isack Hadjar Finishes P3,results_recap,
"I would’ve never guessed Hadjar to be this much of a superstar, so well deserved!",results_recap,
Peak performance from him!,results_recap,
Lando Norris & Oscar Piastri have been disqualified from the 2025 Las Vegas Grand Prix,results_recap,
Lando Norris wins the 2025 Formula One World Drivers' Championship,results_recap,
Kimi Antonelli wins the 2026 Chinese Grand Prix,results_recap,
Seeing that Mercedes logo and a 17 second gap to 3rd is giving me ptsd,results_recap,
That was a great battle from Hamilton and Leclerc. The Ferrari boys are giving us amazing driving this season.,results_recap,
The man is so crazy even his P3 today kinda pissed me as I wanted him to win,results_recap,
Max Verstappen takes pole position for the 2025 Abu Dhabi Grand Prix,results_recap,
Guess everything depends on race start tomorrow,results_recap,
"Such a shame Russel overcooked the last corner, could have been really spicy grid had he placed himself properly in the mix...",results_recap,
Improving in all sectors on that second lap considering how good the first was is insane. Even mitigated the loss in S3 in which the McLarens were significantly faster throughout practice.,results_recap,
George Russell wins the 2026 Australian Grand Prix,results_recap,
"Brilliant from Audi and Lindblad to get points on debut, considering what we were told Aston got a lot of laps in today, really slow but that was expected.",results_recap,
Those first 10 laps were absolute cinema. Wonder what would've happened if Ferrari were able to pit during the second VSC.,results_recap,
"They were doing 1.22s on 40+ old tires, I don’t think Ferrari were ever going to catch them",results_recap,
"Ferrari weren't putting them under any pressure to begin with, they were already approaching 1 sec per lap territory with 17-18 laps to go and that's too easy to manage with tyres that won't fall off a cliff.",results_recap,
"Given the fact that both Mercs pit during VSC, which is faster, and Ferrari took freaking years to stop, losing a lot on those old mediums, the gap as okay. Hamilton lost what, 8 seconds in 10 laps to Russell?",results_recap,
Charles Leclerc takes pole position for the 2025 Hungarian Grand Prix,results_recap,
"Kimi Antonelli takes pole position for the 2026 Chinese Grand Prix, becoming the youngest ever Grand Prix pole sitter at 19 years old",results_recap,
"[F1] For the first time in a decade, both Williams drivers finish in the top 10 of the drivers’ championship",results_recap,
Max Verstappen wins the 2025 United States Grand Prix,results_recap,
"Even tho Charles lost out on P2 this was a great race for Ferrari, love to see it",results_recap,
"PER had penalty for incorrect box position, not speeding",results_recap,
"If Gasly has a bonus payment for finishing 3rd, Gasly definitely wins.",results_recap,
Craziest Monaco GP I’ve seen in a LONG time. What the hell happened the last 20 or so laps lmaoooooo,results_recap,
One of the race of all time,results_recap,
Cadillac points!!,results_recap,
"Grand Slam at Monaco and so far ahead in the championship now, this kid is insane",results_recap,
This was the messiest dry race I think I’ve ever seen.,results_recap,
Hamilton is now P2 in WDC. Kimi needed 6 races to become the undisputed nr. 1 driver and relegate Russell to Bottas.,results_recap,
I dont remember such a dominant performance in Mônaco.When he did a fastest lap prior from the safety cars and Bono told him that there was no need to take risks it reminded of Senna crashing in the lead in Mônaco (88 or 89).,results_recap,
He would’ve won today by about a minute without the safety cars.He was insanely dominant,results_recap,
"Survived a regular start, sc restart and a standing start. With George out of points, what a way to win a grand slam. Youngest too.Kimi has also equaled Lewis' 5 consecutive win streak.Other interesting facts: Kimi is 1 win away from equalling GR 6 overall wins, 3 win away from CL 8 overall wins.Lewis also overtook GR for p2 in the standings.",results_recap,
Trying to keep up with all the penalties and who's gonna end up where was the most exciting part for me.,results_recap,
Hadjar: My car is literally about to explode. Also Hadjar: P3,humor,
"If you're reading this, you have been investigated and confirmed a 5 second penalty for speeding in the pit lane",humor,
"YOU GET A PENALTY, YOU GET A PENALTY, YOU GET A PENALTY…, AND YOU, YOU GET A PENALTY. Everyone gets a penalty 😂😂",humor,
Stroll crashing to make the race interesting. GOAT in my opinion.,humor,
Russell updating his linkedin to #OpenToWork as we speak...,humor,
Kimi has the sauce.,humor,
Peak ragebait from Autosport.,humor,
Just seen George drop to his knees in Tesco,humor,
Alonso downvoted this,humor,
El plan,humor,
Fight! Fight! Fight!,humor,
"I'm sorry, Fernando, you can't retire. It's against the law.",humor,
Not a single driver from this poster scored a point today. The poster curse has arrived.,humor,
A photo finish if you will......,humor,
We got the sucessor to Rosberg selfies,humor,
"""And then, kids, after 15 years I finally managed a Formula One podium! Here's my trophy!"" *shows Lego trophy* ""Yeah sure, grandpa.""",humor,
"Don't cry because it's hornover, smile because it verstappened",humor,
">Be George Russell, >Do nothing, >P2",humor,
UNC STILL GOT IT,humor,
MAXimum utilisation.,humor,
"Why use downforce, when you can have upsidedownforce.",humor,
"Roses are red, Violets are blue, We thought it'd be different, no, Mercedes 1-2.",humor,
"Charles: this is my worst track, Also Charles: pole",humor,
"He remembered to ""just drive faster""",humor,
please f1 gods give this man a good car next year,humor,
Stroll outqualifying Verstappen. Is this the start of the Stroll era?,humor,
"LECLERCCCCCCCCCCC, LECLERCCCCCCCCCCC, CHARLES LECLERCCCCCCCCCCC [coughs to death]",humor,
LORD PERCIVAL!,humor,
People wonder why he is so calm. He lives every day knowing there is a world where he drives for Alpine.,humor,
Does nothing. Wins. Kimi Räikkönen absolute goat,humor,
“I was right!” - Papa Perez /s,humor,
Is there a grinding machine operator as job opening at RBR? I would apply,humor,
Say that to Singapore walls 😅,humor,
He should go to redbull just for funsies,humor,
SMOOTH OPERATOR,humor,
Power of friendship >> new tires,humor,
Carlos has the biggest brain on earth,humor,
"Due to unusual circumstances, today's podcast we'll be having a guest host.",humor,
Ferrari upgrades going backwards as usual,humor,
Dominant stuff by Max/Red Bull. Encouraging stuff by Hamilton/Mercedes. Puzzling stuff by Ferrari and Aston.,humor,
Man too quick the camera cant catch him,humor,
"3 things are inevitable: death, taxes, dutch hymn on sunday.",humor,
You could feel on the radio that Max was pissed at his pitwall when they kept bothering him about track limits as it was pausing his podcast.,humor,
They’re all so happy for UNC,humor,
The Flying Dutchman,humor,
BUT WHEN YOU CLOSE YOUR EYES...,humor,
Hammer time is back baby.,humor,
is this a “here comes sebastian vettel” moment?,humor,
"suddenly in Monza, a 92 Williams enters the race through an escape Road and crashes into Max, and that driver is Sebastian Vettel.",humor,
Penalty to car 44 for ignoring multiple red flags,humor,
Kim Kardashian taking the towel meant for Kimi Antonelli after the race in Monaco and wiping her head with it,news_drama,
That’s the behaviour of someone who has the world revolve around them.,news_drama,
"Why Lewis, whyyyyyyyyyy",news_drama,
"Bro thinks she's MBS lmao that's something MBS would do. They showed her on the broadcast an obscene amount of times, more so than the other wags usually get shown",news_drama,
She also committed the ultimate form of 'celebrity that shouldn't be there' by ignoring Martin Brundle,news_drama,
FIA changes F1’s 2027 engine rules after driver concerns,news_drama,
[autosport] Liam Lawson was asked about the sacrifices his family made to help him get to F1,news_drama,
"Honestly hearing the stories of all the drivers’ childhoods and what they went through to get to F1 I’m horrified to think what happened to everyone who didn’t make it, who suffered all the same hardship and even abuse but weren’t rewarded with all the money and acclaim from making into F1. Doubly so for those whose families weren’t already rich, and who gave up almost everything to support their child’s dream",news_drama,
Gasly promoted to third place in Monaco GP as stewards strike out penalties,news_drama,
"Nico Rosberg called out jacques for his comments on Lewis Hamilton: ""He was speaking to you also in that piece there. He said he hates when ex-drivers criticise him who've not had his success. He was thinking about you 100%.""",news_drama,
Villeneuve made a dig at Rosberg earlier on. He said something about drivers will hype up the people they race with so they can claim they beat the best. Referring to Rosberg's praise for Hamilton since the 2016 win. Thing is Nico is fully justified to praise Lewis and you could see Nico registered the comment partially being about him.,news_drama,
Villeneuve also made a passive aggressive statement about Lewis being responsible for Mercedes success right in front of Nico lol,news_drama,
"Fernando Alonso: ""This will probably be my last race in Barcelona. I'll make a decision after the summer.""",news_drama,
"So a strong hint that he expects to be retired in '28 basically, since F1 will be back to Barcelona then after a year off (Spanish GP to Madring next year, and Spa and Barcelona alternating years with Spa getting next year)",news_drama,
"""I don't have anything in mind, and after the summer I'll decide whether to continue or not. But, as you know, Barcelona obviously isn't going to happen next year, so if I don't know what I'll be doing next year , it's almost impossible to be sure what I'll be doing two years from now . I'd say I'm approaching every race I go to this year as if it could be my last time in Australia, my last time in China, my last time in Monaco, and here in Barcelona there's a bit more of that possibility, since there won't be a race next year either.""",news_drama,
VCARB special livery for Barcelona GP,news_drama,
Mohammed Ben Sulayem proposes removal of term limits for FIA presidents,news_drama,
"The election system works out very well for the incumbent, and changes in recent times have only geared it more towards that. MBS seems to have great control over the FIA. Without term limits, he will be president there for as long as he wants. And I would be surprised if his proposals get rejected.",news_drama,
[F1] BREAKING: Christian Horner is to exit Red Bull Racing with immediate effect,news_drama,
They don't even let him finish the season after 20 years with the team. Very Red Bull style of getting fired.,news_drama,
"Yea kinda suprised by that. Something recent must have triggered this. He made redbull what it is today, i expected them to let him go at the end of a season with a big thank you but getting shoved mid season after 14 championships? Yea something happened there",news_drama,
In 2 years this team went from beating the grid's next three drivers with 1 car to barely anyone in the team with their strongest performer on the verge of changing teams. Biggest downfall yet,news_drama,
[Oracle Red Bull Racing] Team Statement (Regarding online abuse directed at Antonelli),news_drama,
"Meanwhile Dutch Viaplay's first reaction was that Antonelli's tires must've been done for after all those laps of keeping Norris behind, and even commenting on GP's comment that that can't be true.",news_drama,
"[Red Bull] Our Driver Line-up for 2026, Max Verstappen, Isack Hadjar",news_drama,
Yuki will remain within the Red Bull family as he moves into the role of Red Bull Test and Reserve Driver for 2026,news_drama,
[F1] BREAKING: Formula 1 to return to Portugal in 2027 and 2028,news_drama,
"As part of a two-year agreement, the Autódromo Internacional do Algarve will be back on the F1 calendar!",news_drama,
"Barcelona and Zandvoort don’t have a contract for 2027. Istanbul is a better track than both + conveniently located, since it’s easy to get to from Europe and Asia + beautiful city with lots of attractions and great food.",news_drama,
Audi has revealed its new logo and announced its launch date of January 20th.,news_drama,
"Following his victory at the 2023 Belgian Grand Prix, Max Verstappen is 1 race victory away from equaling Sebastian Vettel’s record of 9 consecutive race victories in a row.",news_drama,
"There's a bit in Newey's book that he didn't believe Schumacher could be that much better than his teammates at Benetton, and I wonder what Newey thinks now.",news_drama,
[Autosport]Lewis Hamilton extends his record for the most seasons with wins in F1,news_drama,
"[Tobi Grüner] Breaking: After a successfull Red Bull complaint with the FIA, McLaren has to modify its low downforce rear wing. Bending of the flap edges on the straights will not be allowed, even if the wing passes the static deflection tests.",news_drama,
BREAKING: The Mexico City Grand Prix has been extended to 2028!,news_drama,
"Perez is back. It has to be. I mean, Cadillac is reportedly looking for Perez, then his father has been saying everyone to ""wait and watch"" Then , this.... It has to be it, Because if it ain't, I don't know what then",news_drama,
"[Daniel Moxon] Breaking news: The FIA has removed Johnny Herbert as an F1 steward as that role is ""incompatible"" with his work as a media pundit. Story to follow.",news_drama,
Ferrari hasn’t won at Suzuka in over 20 years - can they finally break the winless streak this year?,news_drama,
Breaking: F1 face major investigation into Andretti rejection,news_drama,
Antitrust investigations in the U.S. are ramping up faster than McLaren's lap times this year.,news_drama,
"We’ll see what happens. It could get interesting though. Anti-competitive practices against other businesses are taken quite seriously. In this case F1 officially said they would consider new team entries if they met their bar. If I’m recalling correctly, the first denial was for specific deficiencies in the team. But the latest denial is the problem. If Andretti failed to deliver and the denial was on technical reasons, then F1’s fine. But if Andretti checked all the boxes, and F1 denied them anyway, F1 is going to be in extremely hot water. Like “let Andretti in, or you have to pay them every cent that they’ve invested in your bad faith scheme”.",news_drama,
They met the requirements for the FIA but apparently didn’t have the numbers for F1 even though they clearly said they did. I’m pretty sure the only thing F1 could argue is that Andretti wouldn’t bring any benefit to F1.,news_drama,
"[Chris Medland] BREAKING: Audi confirms Jonathan Wheatley will depart the team with immediate effect ""due to personal reasons"", with Mattia Binotto taking on team principal responsibilities. Wheatley has been heavily linked with the team principal role at Aston Martin",news_drama,
"It might be a location thing at least in part too, Wheatley was probably expected to move his life/family to Switzerland, where Audi operate their F1 team from, aka the old Sauber facilities, which is a big upheaval compared to moving from RBR in Milton Keynes to AM at Silverstone.",news_drama,
"Max Verstappen: ""Apologies offered to Piastri, that's the most important thing"" | Max Verstappen immediately apologized to Oscar Piastri after the Abu Dhabi Grand Prix: ""He is a friend of mine, so I don't want to have any strange feelings going into the winter break.""",news_drama,
"[Motorsport.com] Mercedes To Finalize 2026 Driver Line-Up In F1’s Summer Break, Says Toto Wolff",news_drama,
"Lewis Hamilton-""at this point I really don’t care, I just wanna get through these next couple of races I’m looking forward to the winter break.”",news_drama,
[SkysportsF1] BREAKING: Esteban Ocon will be replaced by Jack Doohan for next weekend's season finale in Abu Dhabi,news_drama,
"Ted Kravitz confirmed that Ocon agreed to miss the Abu Dhabi GP with Alpine in order to participate in the post season test for Haas, leaving Alpine free to put Doohan in the car for the GP",news_drama,
"Fernando on Max: ""He is one of the best drivers in the history of the sport. I think he is able to extract the maximum from the car, when the car is dominant he can win the Championship and break records. And when the car isn't he still provides the good lap in Qualifying and in the race....""",news_drama,
